Rainfall Education Popden Nonwhite NOX SO2 Mortality
36 11.4 3243 8.8 15 59 921.9
35 11 4281 3.5 10 39 997.9
44 9.8 4260 0.8 6 33 962.4
47 11.1 3125 27.1 8 24 982.3
43 9.6 6441 24.4 38 206 1071
53 10.2 3325 38.5 32 72 1030
43 12.1 4679 3.5 32 62 934.7
45 10.6 2140 5.3 4 4 899.5
36 10.5 6582 8.1 12 37 1002
36 10.7 4213 6.7 7 20 912.3
52 9.6 2302 22.2 8 27 1018
33 10.9 6122 16.3 63 278 1025
40 10.2 4101 13 26 146 970.5
35 11.1 3042 14.7 21 64 986
37 11.9 4259 13.1 9 15 958.8
35 11.8 1441 14.8 1 1 860.1
36 11.4 4029 12.4 4 16 936.2
15 12.2 4824 4.7 8 28 871.8
31 10.8 4834 15.8 35 124 959.2
30 10.8 3694 13.1 4 11 941.2
31 11.4 1844 11.5 1 1 891.7
31 10.9 3226 5.1 3 10 871.3
42 10.4 2269 22.7 3 5 971.1
43 11.5 2909 7.2 3 10 887.5
46 11.4 2647 21 5 1 952.5
39 11.4 4412 15.6 7 33 968.7
35 12 3262 12.6 4 4 919.7
43 9.5 3214 2.9 7 32 844.1
11 12.1 4700 7.8 319 130 861.8
30 9.9 4474 13.1 37 193 989.3
50 10.4 3497 36.7 18 34 1006
60 11.5 4657 13.5 1 1 861.4
30 11.1 2934 5.8 23 125 929.2
25 12.1 2095 2 11 26 857.6
45 10.1 2082 21 14 78 961
46 11.3 3327 8.8 3 8 923.2
54 9.7 3172 31.4 17 1 1113
42 10.7 7462 11.3 26 108 994.6
42 10.5 6092 17.5 32 161 1015
36 10.6 3437 8.1 59 263 991.3
37 12 3387 3.6 21 44 894
42 10.1 3508 2.2 4 18 938.5
41 9.6 4843 2.7 11 89 946.2
44 11 3768 28.6 9 48 1026
32 11.1 4355 5 4 18 874.3
34 9.7 5160 17.2 15 68 953.6
10 12.1 3033 5.9 66 20 839.7
18 12.2 4253 13.7 171 86 911.7
13 12.2 2702 3 32 3 790.7
35 12.2 3626 5.7 7 20 899.3
45 11.1 1883 3.4 4 20 904.2
38 11.4 4923 3.8 5 25 950.7
31 10.7 3249 9.5 7 25 972.5
40 10.3 1671 2.5 2 11 912.2
41 12.3 5308 25.9 28 102 968.8
28 12.1 3665 7.5 2 1 823.8
45 11.3 3152 12.1 11 42 1004
45 11.1 3678 1 3 8 895.7
42 9 9699 4.8 8 49 911.8
38 10.7 3451 11.7 13 39 954.4
